data,hora,pk,D_TRACAT_ALTIMETRIC,D_TIPUS_VIA,D_SENTITS_VIA,D_CLIMATOLOGIA,D_BOIRA,D_LLUMINOSITAT
29/07/2022,20.41,161.0,Pla,Autovia,Un sentit,Serè,No es de el cas,Clar
12/03/2013,11.48,296.3,Pendent,Autovia,Un sentit,Serè,No es de el cas,Clar
01/05/2012,20.9,296.0,Rampa,Carretera,Un sentit,Serè,No es de el cas,Clar
23/08/2010,2.48,174.3,Pendent,Autovia,Doble sentit,Serè,No es de el cas,Fosc
11/06/2022,13.25,457.0,Pendent,Autovia,Un sentit,Serè,No es de el cas,Clar
06/04/2019,17.59,385.7,Rampa,Autovia,Doble sentit,Boira,Boira,Clar
25/07/2016,22.37,128.2,Pla,Autovia,Un sentit,Serè,No es de el cas,Fosc
01/06/2023,8.50,292.6,Pendent,Carretera,Un sentit,Serè,No es de el cas,Clar
19/09/2014,21.47,430.0,Pendent,Autovia,Un sentit,Serè,No es de el cas,Fosc
13/12/2017,19.55,4.2,Rampa,Autovia,Un sentit,Serè,No es de el cas,Clar
27/05/2012,15.49,14.0,Pendent,Autovia,Un sentit,Serè,No es de el cas,Clar
29/03/2011,12.9,147.6,Rampa,Autovia,Doble sentit,Serè,No es de el cas,Clar
09/04/2018,10.30,469.0,Pla,Autovia,Un sentit,Serè,No es de el cas,Clar
02/01/2019,2.47,164.6,Rampa,Carretera,Doble sentit,Serè,No es de el cas,Fosc
10/04/2012,13.4,128.5,Pendent,Autovia,Doble sentit,Serè,No es de el cas,Clar
27/12/2015,4.29,16.8,Pendent,Autovia,Doble sentit,Pluja,No es de el cas,Fosc
28/04/2021,14.43,19.2,Rampa,Carretera,Doble sentit,Pluja,No es de el cas,Clar
19/11/2022,12.44,13.6,Pendent,Carretera,Un sentit,Serè,No es de el cas,Clar
27/03/2013,7.10,201.4,Pendent,Autovia,Un sentit,Pluja,No es de el cas,Clar
01/01/2019,23.51,331.9,Pendent,Autovia,Doble sentit,Serè,No es de el cas,Fosc
23/12/2016,14.32,173.5,Rampa,Autovia,Doble sentit,Serè,No es de el cas,Clar
06/06/2022,17.33,179.5,Rampa,Autovia,Un sentit,Serè,No es de el cas,Clar
02/05/2017,5.16,81.4,Pla,Autovia,Doble sentit,Serè,No es de el cas,Fosc
16/09/2023,23.30,354.2,Pla,Autovia,Doble sentit,Serè,No es de el cas,Fosc
08/10/2015,5.22,352.2,Pendent,Autovia,Doble sentit,Ennudesit,No es de el cas,Fosc
04/02/2014,12.38,330.7,Pendent,Autovia,Doble sentit,Serè,No es de el cas,Clar
23/03/2019,15.14,15.2,Rampa,Autovia,Un sentit,Serè,No es de el cas,Clar
02/09/2021,14.33,299.8,Pla,Autovia,Doble sentit,Serè,No es de el cas,Clar
05/03/2018,13.46,151.1,Pla,Autovia,Doble sentit,Ennudesit,No es de el cas,Clar
24/09/2021,2.21,27.4,Pendent,Autovia,Un sentit,Boira,Boira,Fosc
22/02/2020,12.37,282.4,Pendent,Autovia,Un sentit,Serè,No es de el cas,Clar
14/03/2019,22.54,349.2,Pla,Autovia,Doble sentit,Serè,No es de el cas,Fosc
21/11/2012,5.9,197.6,Pendent,Autovia,Un sentit,Serè,No es de el cas,Fosc
18/05/2017,12.9,216.9,Rampa,Autovia,Un sentit,Serè,No es de el cas,Clar
13/06/2011,5.40,166.4,Pla,Autovia,Un sentit,Serè,No es de el cas,Fosc
12/09/2018,4.23,204.3,Pendent,Autovia,Doble sentit,Serè,No es de el cas,Fosc
20/12/2015,14.9,148.5,Pendent,Autovia,Un sentit,Serè,No es de el cas,Clar
25/04/2016,2.53,335.6,Rampa,Autovia,Doble sentit,Serè,No es de el cas,Fosc
12/04/2012,3.18,104.9,Rampa,Autovia,Doble sentit,Serè,No es de el cas,Fosc
09/04/2021,3.2,165.4,Rampa,Autovia,Doble sentit,Ennudesit,No es de el cas,Fosc
08/06/2018,0.29,195.1,Pla,Autovia,Doble sentit,Serè,No es de el cas,Fosc
04/10/2017,8.29,129.0,Rampa,Autovia,Un sentit,Serè,No es de el cas,Clar
26/08/2023,21.20,61.2,Pendent,Autovia,Doble sentit,Serè,No es de el cas,Fosc
21/03/2017,19.53,15.0,Pla,Autovia,Un sentit,Serè,No es de el cas,Clar
29/05/2020,1.53,469.3,Pla,Autovia,Un sentit,Serè,No es de el cas,Fosc
10/07/2016,1.25,174.7,Pla,Autovia,Doble sentit,Serè,No es de el cas,Fosc
27/07/2022,17.53,175.2,Pla,Carretera,Un sentit,Serè,No es de el cas,Clar
30/06/2021,9.28,115.8,Pla,Autovia,Doble sentit,Ennudesit,No es de el cas,Clar
25/04/2023,11.7,384.0,Pendent,Autovia,Doble sentit,Boira,Boira,Clar
03/11/2017,6.31,241.9,Pendent,Autovia,Un sentit,Serè,No es de el cas,Fosc
27/03/2013,3.53,243.3,Rampa,Carretera,Doble sentit,Serè,No es de el cas,Fosc
22/08/2020,4.10,292.1,Pendent,Autovia,Doble sentit,Serè,No es de el cas,Fosc
23/10/2012,18.12,389.4,Pla,Autovia,Doble sentit,Serè,No es de el cas,Clar
21/11/2018,20.29,172.4,Rampa,Autovia,Doble sentit,Serè,No es de el cas,Clar
14/09/2015,14.19,292.6,Pendent,Autovia,Doble sentit,Serè,No es de el cas,Clar
21/02/2020,22.18,156.1,Pendent,Autovia,Doble sentit,Ennudesit,No es de el cas,Fosc
19/11/2021,10.37,18.3,Rampa,Autovia,Doble sentit,Serè,No es de el cas,Clar
20/05/2021,9.32,164.0,Pla,Autovia,Un sentit,Pluja,No es de el cas,Clar
03/10/2019,21.10,70.9,Pla,Autovia,Un sentit,Serè,No es de el cas,Fosc
08/12/2016,6.43,361.9,Pla,Autovia,Un sentit,Serè,No es de el cas,Fosc
04/01/2014,5.0,167.8,Pendent,Autovia,Un sentit,Serè,No es de el cas,Fosc
22/07/2011,2.40,303.8,Rampa,Autovia,Doble sentit,Pluja,No es de el cas,Fosc
25/03/2022,19.41,3.1,Pla,Autovia,Doble sentit,Serè,No es de el cas,Clar
04/02/2016,12.45,334.5,Pendent,Autovia,Doble sentit,Serè,No es de el cas,Clar
07/11/2016,11.11,79.8,Pla,Autovia,Un sentit,Ennudesit,No es de el cas,Clar
08/04/2023,4.56,161.7,Pla,Autovia,Doble sentit,Serè,No es de el cas,Fosc
16/08/2017,0.54,179.2,Pendent,Carretera,Doble sentit,Serè,No es de el cas,Fosc
11/02/2015,19.13,3.1,Pendent,Autovia,Doble sentit,Serè,No es de el cas,Clar
19/10/2018,15.41,224.5,Pendent,Autovia,Un sentit,Serè,No es de el cas,Clar
08/08/2012,13.19,417.4,Pla,Autovia,Un sentit,Serè,No es de el cas,Clar
19/12/2015,16.3,47.1,Pendent,Autovia,Un sentit,Boira,Boira,Clar
01/04/2011,21.21,11.9,Rampa,Autovia,Un sentit,Pluja,No es de el cas,Fosc
25/04/2010,4.48,146.0,Rampa,Autovia,Doble sentit,Serè,No es de el cas,Fosc
28/10/2012,22.25,294.3,Pla,Carretera,Un sentit,Serè,No es de el cas,Fosc
06/12/2016,13.0,36.7,Pendent,Autovia,Un sentit,Serè,No es de el cas,Clar
05/12/2021,2.25,186.4,Pla,Carretera,Doble sentit,Pluja,No es de el cas,Fosc
01/11/2016,22.0,338.8,Pla,Autovia,Un sentit,Boira,Boira,Fosc
21/04/2020,11.22,278.8,Pendent,Autovia,Doble sentit,Boira,Boira,Clar
03/06/2013,6.19,384.6,Pla,Autovia,Doble sentit,Ennudesit,No es de el cas,Fosc
16/10/2022,2.58,226.1,Pla,Autovia,Doble sentit,Serè,No es de el cas,Fosc
22/07/2013,16.9,177.6,Pla,Autovia,Doble sentit,Serè,No es de el cas,Clar
31/12/2011,14.47,16.4,Pla,Autovia,Doble sentit,Serè,No es de el cas,Clar
05/05/2017,7.47,6.4,Pendent,Autovia,Un sentit,Serè,No es de el cas,Clar
27/02/2021,14.37,9.1,Rampa,Autovia,Un sentit,Serè,No es de el cas,Clar
02/04/2015,23.17,59.4,Pla,Autovia,Un sentit,Serè,No es de el cas,Fosc
24/06/2016,19.36,305.1,Pla,Autovia,Un sentit,Serè,No es de el cas,Clar
17/11/2018,5.35,255.3,Pendent,Autovia,Doble sentit,Serè,No es de el cas,Fosc
07/11/2016,19.4,84.6,Rampa,Autovia,Un sentit,Serè,No es de el cas,Clar
17/09/2017,18.29,95.8,Pla,Carretera,Un sentit,Pluja,No es de el cas,Clar
07/09/2022,16.1,14.9,Pla,Autovia,Doble sentit,Pluja,No es de el cas,Clar
21/06/2020,17.54,1.5,Rampa,Carretera,Doble sentit,Serè,No es de el cas,Clar
16/09/2010,19.28,323.4,Pla,Autovia,Un sentit,Serè,No es de el cas,Clar
16/03/2013,1.37,200.6,Pendent,Autovia,Doble sentit,Serè,No es de el cas,Fosc
27/11/2019,6.3,337.5,Pendent,Autovia,Doble sentit,Serè,No es de el cas,Fosc
02/05/2016,16.26,436.1,Pendent,Carretera,Un sentit,Ennudesit,No es de el cas,Clar
25/04/2014,8.4,248.6,Pla,Autovia,Doble sentit,Pluja,No es de el cas,Clar
15/11/2016,7.8,16.5,Pendent,Carretera,Un sentit,Serè,No es de el cas,Clar
11/03/2017,17.59,13.8,Rampa,Autovia,Doble sentit,Serè,No es de el cas,Clar
15/09/2011,18.13,2.2,Pla,Autovia,Un sentit,Pluja,No es de el cas,Clar
25/05/2011,13.54,386.5,Rampa,Autovia,Un sentit,Serè,No es de el cas,Clar
14/03/2014,16.2,176.6,Pendent,Autovia,Un sentit,Pluja,No es de el cas,Clar
27/06/2014,10.11,179.2,Pla,Carretera,Un sentit,Serè,No es de el cas,Clar
14/08/2018,18.50,148.6,Pendent,Carretera,Un sentit,Ennudesit,No es de el cas,Clar
17/08/2017,9.46,321.0,Pendent,Carretera,Un sentit,Ennudesit,No es de el cas,Clar
08/01/2018,2.41,178.3,Pla,Autovia,Un sentit,Serè,No es de el cas,Fosc
25/11/2021,21.50,210.5,Rampa,Carretera,Un sentit,Serè,No es de el cas,Fosc
16/06/2017,13.29,304.4,Pla,Autovia,Doble sentit,Serè,No es de el cas,Clar
29/11/2014,18.29,267.1,Pendent,Autovia,Doble sentit,Serè,No es de el cas,Clar
25/08/2018,16.40,11.4,Rampa,Autovia,Doble sentit,Serè,No es de el cas,Clar
28/09/2020,0.41,425.3,Rampa,Autovia,Un sentit,Serè,No es de el cas,Fosc
08/03/2011,4.41,436.6,Pla,Autovia,Doble sentit,Serè,No es de el cas,Fosc
06/12/2010,8.7,0.5,Pla,Autovia,Doble sentit,Serè,No es de el cas,Clar
10/05/2015,17.43,2.8,Pendent,Autovia,Un sentit,Pluja,No es de el cas,Clar
19/01/2016,23.7,215.3,Pendent,Carretera,Doble sentit,Serè,No es de el cas,Fosc
23/11/2012,13.10,135.3,Pla,Carretera,Doble sentit,Serè,No es de el cas,Clar
06/10/2016,1.4,285.1,Pendent,Autovia,Un sentit,Serè,No es de el cas,Fosc
26/10/2022,23.58,464.4,Pendent,Autovia,Un sentit,Serè,No es de el cas,Fosc
17/03/2015,22.51,394.5,Pendent,Autovia,Doble sentit,Pluja,No es de el cas,Fosc
20/01/2011,0.29,167.4,Pla,Carretera,Doble sentit,Pluja,No es de el cas,Fosc
16/07/2014,16.54,307.2,Rampa,Autovia,Doble sentit,Ennudesit,No es de el cas,Clar
24/10/2023,22.0,309.3,Pendent,Autovia,Un sentit,Serè,No es de el cas,Fosc
11/12/2013,11.2,100.4,Rampa,Autovia,Doble sentit,Serè,No es de el cas,Clar
28/12/2019,19.10,169.5,Pla,Autovia,Doble sentit,Serè,No es de el cas,Clar
28/11/2021,13.5,402.3,Pla,Carretera,Un sentit,Ennudesit,No es de el cas,Clar
22/12/2022,3.20,440.8,Rampa,Autovia,Un sentit,Serè,No es de el cas,Fosc
03/08/2013,1.19,341.3,Pla,Carretera,Un sentit,Ennudesit,No es de el cas,Fosc
13/05/2012,8.6,305.3,Pla,Autovia,Un sentit,Ennudesit,No es de el cas,Clar
14/09/2020,23.3,354.4,Pendent,Autovia,Un sentit,Serè,No es de el cas,Fosc
08/12/2019,12.6,453.4,Pla,Autovia,Un sentit,Serè,No es de el cas,Clar
14/12/2018,16.43,167.6,Pla,Autovia,Un sentit,Serè,No es de el cas,Clar
26/04/2022,17.55,74.7,Rampa,Autovia,Doble sentit,Serè,No es de el cas,Clar
04/10/2014,5.21,101.7,Rampa,Autovia,Doble sentit,Ennudesit,No es de el cas,Fosc
07/10/2013,15.0,281.4,Pendent,Autovia,Doble sentit,Serè,No es de el cas,Clar
14/02/2018,18.48,280.8,Pla,Autovia,Un sentit,Pluja,No es de el cas,Clar
28/08/2012,3.44,174.4,Rampa,Carretera,Doble sentit,Serè,No es de el cas,Fosc
01/03/2022,15.2,200.0,Pendent,Autovia,Doble sentit,Pluja,No es de el cas,Clar
10/09/2017,20.44,47.1,Pendent,Autovia,Un sentit,Serè,No es de el cas,Clar
26/11/2011,21.14,295.2,Rampa,Autovia,Un sentit,Ennudesit,No es de el cas,Fosc
06/04/2019,3.19,467.2,Pla,Autovia,Doble sentit,Serè,No es de el cas,Fosc
17/09/2021,22.7,56.3,Pendent,Carretera,Doble sentit,Serè,No es de el cas,Fosc
20/07/2018,3.52,19.5,Pla,Carretera,Doble sentit,Serè,No es de el cas,Fosc
06/05/2019,10.3,279.9,Rampa,Autovia,Un sentit,Serè,No es de el cas,Clar
08/06/2015,4.24,132.5,Rampa,Autovia,Doble sentit,Serè,No es de el cas,Fosc
09/06/2018,22.29,199.6,Pla,Autovia,Un sentit,Serè,No es de el cas,Fosc
20/09/2011,13.13,394.2,Pendent,Autovia,Doble sentit,Serè,No es de el cas,Clar
29/03/2013,19.11,258.5,Pla,Autovia,Doble sentit,Boira,Boira,Clar
08/07/2013,6.17,343.3,Rampa,Carretera,Doble sentit,Serè,No es de el cas,Fosc
04/12/2016,3.36,179.9,Rampa,Carretera,Doble sentit,Serè,No es de el cas,Fosc
11/04/2020,12.21,309.3,Rampa,Autovia,Doble sentit,Ennudesit,No es de el cas,Clar
16/01/2010,2.51,446.2,Pla,Autovia,Doble sentit,Serè,No es de el cas,Fosc
10/12/2015,15.19,450.6,Pla,Autovia,Un sentit,Serè,No es de el cas,Clar
12/09/2017,2.35,368.2,Pendent,Carretera,Un sentit,Serè,No es de el cas,Fosc
10/02/2018,22.51,142.7,Pendent,Carretera,Un sentit,Pluja,No es de el cas,Fosc
29/12/2017,22.37,397.6,Pendent,Carretera,Un sentit,Serè,No es de el cas,Fosc
19/09/2011,20.43,177.4,Rampa,Autovia,Doble sentit,Serè,No es de el cas,Clar
13/08/2021,1.31,440.5,Pla,Carretera,Un sentit,Ennudesit,No es de el cas,Fosc
06/12/2022,11.12,96.0,Pendent,Autovia,Doble sentit,Serè,No es de el cas,Clar
20/05/2017,3.29,169.5,Rampa,Autovia,Doble sentit,Pluja,No es de el cas,Fosc
02/06/2019,16.23,215.4,Pla,Autovia,Un sentit,Ennudesit,No es de el cas,Clar
29/08/2022,6.19,222.8,Rampa,Autovia,Doble sentit,Ennudesit,No es de el cas,Fosc
23/05/2022,2.34,112.1,Pendent,Carretera,Doble sentit,Ennudesit,No es de el cas,Fosc
29/11/2021,3.15,280.0,Rampa,Carretera,Doble sentit,Ennudesit,No es de el cas,Fosc
26/06/2012,23.55,175.0,Pla,Carretera,Un sentit,Serè,No es de el cas,Fosc
07/11/2023,22.24,58.2,Pendent,Autovia,Doble sentit,Serè,No es de el cas,Fosc
04/09/2012,15.4,455.1,Pendent,Carretera,Doble sentit,Serè,No es de el cas,Clar
